"AllocatedGB","College","UsageGB","X_time","source","sourcetype"
349899,"CMPH",207059,"2021-10-22T07:20:52.000+0000","http:research_data","httpevent"
349899,"CMPH",207050,"2021-10-21T07:23:46.000+0000","http:research_data","httpevent"
349899,"CMPH",207029,"2021-10-20T09:57:08.000+0000","http:research_data","httpevent"
349899,"CMPH",207012,"2021-10-15T07:20:46.000+0000","http:research_data","httpevent"
349899,"CMPH",206981,"2021-10-14T12:20:44.000+0000","http:research_data","httpevent"
120157,"CMPH",57014,"2021-10-13T11:26:42.000+0000","http:research_data","httpevent"
349899,"CMPH",206904,"2021-10-11T07:21:18.000+0000","http:research_data","httpevent"
349899,"CMPH",206904,"2021-10-10T07:21:28.000+0000","http:research_data","httpevent"
349899,"CMPH",206903,"2021-10-09T07:23:06.000+0000","http:research_data","httpevent"
349899,"CMPH",206887,"2021-10-08T07:21:17.000+0000","http:research_data","httpevent"
349899,"CMPH",206804,"2021-10-07T07:22:45.000+0000","http:research_data","httpevent"
349899,"CMPH",206757,"2021-10-06T07:20:42.000+0000","http:research_data","httpevent"
349899,"CMPH",206755,"2021-10-05T07:24:01.000+0000","http:research_data","httpevent"
349899,"CMPH",206755,"2021-10-04T07:21:19.000+0000","http:research_data","httpevent"
349899,"CMPH",206747,"2021-10-03T07:20:35.000+0000","http:research_data","httpevent"
349899,"CMPH",206734,"2021-10-02T07:24:51.000+0000","http:research_data","httpevent"
349899,"CMPH",206619,"2021-10-01T07:21:15.000+0000","http:research_data","httpevent"
349899,"CMPH",206608,"2021-09-30T07:22:04.000+0000","http:research_data","httpevent"
349899,"CMPH",206578,"2021-09-29T07:21:14.000+0000","http:research_data","httpevent"
349899,"CMPH",206442,"2021-09-28T07:22:37.000+0000","http:research_data","httpevent"
349849,"CMPH",206450,"2021-09-27T07:19:52.000+0000","http:research_data","httpevent"
349849,"CMPH",206450,"2021-09-26T07:22:54.000+0000","http:research_data","httpevent"
349849,"CMPH",206450,"2021-09-25T07:24:13.000+0000","http:research_data","httpevent"
349849,"CMPH",205980,"2021-09-24T07:23:28.000+0000","http:research_data","httpevent"
349849,"CMPH",206137,"2021-09-23T07:24:31.000+0000","http:research_data","httpevent"
349849,"CMPH",206427,"2021-09-22T07:22:12.000+0000","http:research_data","httpevent"
349849,"CMPH",205988,"2021-09-21T07:23:50.000+0000","http:research_data","httpevent"
349849,"CMPH",205850,"2021-09-20T07:22:08.000+0000","http:research_data","httpevent"
349849,"CMPH",205850,"2021-09-19T07:22:15.000+0000","http:research_data","httpevent"
349849,"CMPH",205849,"2021-09-18T07:24:02.000+0000","http:research_data","httpevent"
349849,"CMPH",205799,"2021-09-17T07:21:32.000+0000","http:research_data","httpevent"
349849,"CMPH",204876,"2021-09-16T07:23:19.000+0000","http:research_data","httpevent"
349849,"CMPH",204422,"2021-09-15T07:21:56.000+0000","http:research_data","httpevent"
349849,"CMPH",204272,"2021-09-14T07:22:40.000+0000","http:research_data","httpevent"
349849,"CMPH",204099,"2021-09-13T07:20:18.000+0000","http:research_data","httpevent"
349849,"CMPH",204097,"2021-09-12T07:20:53.000+0000","http:research_data","httpevent"
349849,"CMPH",204094,"2021-09-11T07:21:54.000+0000","http:research_data","httpevent"
349849,"CMPH",204056,"2021-09-10T07:21:18.000+0000","http:research_data","httpevent"
349849,"CMPH",204123,"2021-09-09T07:22:09.000+0000","http:research_data","httpevent"
349849,"CMPH",203084,"2021-09-08T07:22:48.000+0000","http:research_data","httpevent"
349849,"CMPH",203091,"2021-09-07T07:25:13.000+0000","http:research_data","httpevent"
349849,"CMPH",202774,"2021-09-06T07:22:33.000+0000","http:research_data","httpevent"
349849,"CMPH",202774,"2021-09-05T07:22:31.000+0000","http:research_data","httpevent"
349849,"CMPH",202768,"2021-09-04T07:24:09.000+0000","http:research_data","httpevent"
349849,"CMPH",202294,"2021-09-03T07:22:38.000+0000","http:research_data","httpevent"
349849,"CMPH",202283,"2021-09-02T07:24:16.000+0000","http:research_data","httpevent"
349849,"CMPH",202232,"2021-09-01T07:21:27.000+0000","http:research_data","httpevent"
349849,"CMPH",202218,"2021-08-31T07:24:26.000+0000","http:research_data","httpevent"
349849,"CMPH",202048,"2021-08-30T07:21:48.000+0000","http:research_data","httpevent"
349849,"CMPH",202033,"2021-08-29T07:21:58.000+0000","http:research_data","httpevent"
349849,"CMPH",202031,"2021-08-28T07:24:30.000+0000","http:research_data","httpevent"
349849,"CMPH",202023,"2021-08-27T07:20:44.000+0000","http:research_data","httpevent"
349849,"CMPH",201936,"2021-08-26T07:23:02.000+0000","http:research_data","httpevent"
349849,"CMPH",201887,"2021-08-25T07:20:08.000+0000","http:research_data","httpevent"
349349,"CMPH",201879,"2021-08-24T07:22:59.000+0000","http:research_data","httpevent"
349349,"CMPH",201870,"2021-08-23T07:20:30.000+0000","http:research_data","httpevent"
349349,"CMPH",201868,"2021-08-22T07:21:14.000+0000","http:research_data","httpevent"
349349,"CMPH",201867,"2021-08-21T07:23:08.000+0000","http:research_data","httpevent"
349349,"CMPH",201805,"2021-08-20T07:20:54.000+0000","http:research_data","httpevent"
349349,"CMPH",201742,"2021-08-19T07:23:18.000+0000","http:research_data","httpevent"
349349,"CMPH",201587,"2021-08-18T07:21:57.000+0000","http:research_data","httpevent"
349349,"CMPH",201583,"2021-08-17T07:24:31.000+0000","http:research_data","httpevent"
349349,"CMPH",200778,"2021-08-16T07:20:57.000+0000","http:research_data","httpevent"
349349,"CMPH",200777,"2021-08-15T07:21:08.000+0000","http:research_data","httpevent"
349349,"CMPH",200651,"2021-08-14T07:23:23.000+0000","http:research_data","httpevent"
349249,"CMPH",201120,"2021-08-13T07:22:06.000+0000","http:research_data","httpevent"
349249,"CMPH",201012,"2021-08-12T07:23:21.000+0000","http:research_data","httpevent"
349249,"CMPH",200861,"2021-08-11T07:21:37.000+0000","http:research_data","httpevent"
349249,"CMPH",199608,"2021-08-10T07:23:56.000+0000","http:research_data","httpevent"
349249,"CMPH",199113,"2021-08-09T07:19:44.000+0000","http:research_data","httpevent"
349249,"CMPH",199096,"2021-08-08T07:21:37.000+0000","http:research_data","httpevent"
349249,"CMPH",198431,"2021-08-07T07:22:54.000+0000","http:research_data","httpevent"
349249,"CMPH",197218,"2021-08-06T07:21:49.000+0000","http:research_data","httpevent"
349249,"CMPH",195965,"2021-08-05T07:22:26.000+0000","http:research_data","httpevent"
349249,"CMPH",194693,"2021-08-04T07:21:42.000+0000","http:research_data","httpevent"
349249,"CMPH",193778,"2021-08-03T07:22:27.000+0000","http:research_data","httpevent"
349199,"CMPH",192588,"2021-08-02T07:21:07.000+0000","http:research_data","httpevent"
