"AllocatedGB","College","UsageGB","X_time","source","sourcetype"
427754,"CSE",295447,"2021-10-22T07:20:53.000+0000","http:research_data","httpevent"
427754,"CSE",295482,"2021-10-21T07:23:48.000+0000","http:research_data","httpevent"
427754,"CSE",295477,"2021-10-20T09:57:09.000+0000","http:research_data","httpevent"
427904,"CSE",295201,"2021-10-15T07:20:47.000+0000","http:research_data","httpevent"
427904,"CSE",295191,"2021-10-14T12:20:51.000+0000","http:research_data","httpevent"
0,"CSE",0,"2021-10-13T11:26:46.000+0000","http:research_data","httpevent"
427884,"CSE",294777,"2021-10-11T07:21:19.000+0000","http:research_data","httpevent"
427884,"CSE",295201,"2021-10-10T07:21:29.000+0000","http:research_data","httpevent"
427884,"CSE",296615,"2021-10-09T07:23:07.000+0000","http:research_data","httpevent"
427884,"CSE",297463,"2021-10-08T07:21:19.000+0000","http:research_data","httpevent"
427884,"CSE",297232,"2021-10-07T07:22:46.000+0000","http:research_data","httpevent"
430084,"CSE",299563,"2021-10-06T07:20:43.000+0000","http:research_data","httpevent"
430084,"CSE",300738,"2021-10-05T07:24:02.000+0000","http:research_data","httpevent"
430084,"CSE",300737,"2021-10-04T07:21:20.000+0000","http:research_data","httpevent"
430084,"CSE",300718,"2021-10-03T07:20:36.000+0000","http:research_data","httpevent"
430084,"CSE",300718,"2021-10-02T07:24:52.000+0000","http:research_data","httpevent"
430084,"CSE",300716,"2021-10-01T07:21:16.000+0000","http:research_data","httpevent"
430084,"CSE",300717,"2021-09-30T07:22:06.000+0000","http:research_data","httpevent"
430084,"CSE",300157,"2021-09-29T07:21:15.000+0000","http:research_data","httpevent"
430084,"CSE",300151,"2021-09-28T07:22:38.000+0000","http:research_data","httpevent"
429084,"CSE",300144,"2021-09-27T07:19:53.000+0000","http:research_data","httpevent"
429084,"CSE",300135,"2021-09-26T07:22:55.000+0000","http:research_data","httpevent"
429084,"CSE",300135,"2021-09-25T07:24:14.000+0000","http:research_data","httpevent"
429084,"CSE",299870,"2021-09-24T07:23:29.000+0000","http:research_data","httpevent"
429084,"CSE",299760,"2021-09-23T07:24:33.000+0000","http:research_data","httpevent"
429084,"CSE",299757,"2021-09-22T07:22:14.000+0000","http:research_data","httpevent"
429084,"CSE",299760,"2021-09-21T07:23:51.000+0000","http:research_data","httpevent"
429084,"CSE",299756,"2021-09-20T07:22:09.000+0000","http:research_data","httpevent"
429084,"CSE",299756,"2021-09-19T07:22:16.000+0000","http:research_data","httpevent"
429084,"CSE",299756,"2021-09-18T07:24:04.000+0000","http:research_data","httpevent"
429084,"CSE",299351,"2021-09-17T07:21:33.000+0000","http:research_data","httpevent"
429084,"CSE",299176,"2021-09-16T07:23:21.000+0000","http:research_data","httpevent"
429084,"CSE",299160,"2021-09-15T07:21:57.000+0000","http:research_data","httpevent"
429084,"CSE",298697,"2021-09-14T07:22:42.000+0000","http:research_data","httpevent"
429084,"CSE",298692,"2021-09-13T07:20:21.000+0000","http:research_data","httpevent"
429084,"CSE",298690,"2021-09-12T07:20:54.000+0000","http:research_data","httpevent"
429084,"CSE",298685,"2021-09-11T07:21:56.000+0000","http:research_data","httpevent"
430684,"CSE",299523,"2021-09-10T07:21:19.000+0000","http:research_data","httpevent"
430684,"CSE",299190,"2021-09-09T07:22:10.000+0000","http:research_data","httpevent"
429784,"CSE",299175,"2021-09-08T07:22:49.000+0000","http:research_data","httpevent"
429784,"CSE",299116,"2021-09-07T07:25:14.000+0000","http:research_data","httpevent"
429784,"CSE",298221,"2021-09-06T07:22:34.000+0000","http:research_data","httpevent"
429784,"CSE",298221,"2021-09-05T07:22:32.000+0000","http:research_data","httpevent"
429784,"CSE",298226,"2021-09-04T07:24:11.000+0000","http:research_data","httpevent"
429784,"CSE",297948,"2021-09-03T07:22:40.000+0000","http:research_data","httpevent"
429784,"CSE",297907,"2021-09-02T07:24:18.000+0000","http:research_data","httpevent"
429784,"CSE",297875,"2021-09-01T07:21:28.000+0000","http:research_data","httpevent"
429784,"CSE",297723,"2021-08-31T07:24:27.000+0000","http:research_data","httpevent"
429784,"CSE",297620,"2021-08-30T07:21:49.000+0000","http:research_data","httpevent"
429784,"CSE",297610,"2021-08-29T07:21:59.000+0000","http:research_data","httpevent"
429784,"CSE",297604,"2021-08-28T07:24:31.000+0000","http:research_data","httpevent"
429784,"CSE",297549,"2021-08-27T07:20:45.000+0000","http:research_data","httpevent"
429784,"CSE",297256,"2021-08-26T07:23:04.000+0000","http:research_data","httpevent"
429784,"CSE",297194,"2021-08-25T07:20:09.000+0000","http:research_data","httpevent"
429784,"CSE",295768,"2021-08-24T07:23:00.000+0000","http:research_data","httpevent"
429784,"CSE",295741,"2021-08-23T07:20:32.000+0000","http:research_data","httpevent"
429784,"CSE",295735,"2021-08-22T07:21:15.000+0000","http:research_data","httpevent"
429784,"CSE",295734,"2021-08-21T07:23:09.000+0000","http:research_data","httpevent"
429784,"CSE",295640,"2021-08-20T07:20:55.000+0000","http:research_data","httpevent"
429784,"CSE",295455,"2021-08-19T07:23:19.000+0000","http:research_data","httpevent"
429784,"CSE",294989,"2021-08-18T07:21:58.000+0000","http:research_data","httpevent"
429784,"CSE",294964,"2021-08-17T07:24:32.000+0000","http:research_data","httpevent"
428760,"CSE",294938,"2021-08-16T07:20:58.000+0000","http:research_data","httpevent"
428760,"CSE",294937,"2021-08-15T07:21:09.000+0000","http:research_data","httpevent"
428760,"CSE",294933,"2021-08-14T07:23:24.000+0000","http:research_data","httpevent"
428760,"CSE",294844,"2021-08-13T07:22:07.000+0000","http:research_data","httpevent"
428760,"CSE",294774,"2021-08-12T07:23:22.000+0000","http:research_data","httpevent"
428760,"CSE",294868,"2021-08-11T07:21:38.000+0000","http:research_data","httpevent"
428760,"CSE",294834,"2021-08-10T07:23:57.000+0000","http:research_data","httpevent"
428760,"CSE",294754,"2021-08-09T07:19:45.000+0000","http:research_data","httpevent"
428760,"CSE",294751,"2021-08-08T07:21:38.000+0000","http:research_data","httpevent"
428760,"CSE",294739,"2021-08-07T07:22:56.000+0000","http:research_data","httpevent"
428760,"CSE",294707,"2021-08-06T07:21:50.000+0000","http:research_data","httpevent"
428760,"CSE",294539,"2021-08-05T07:22:28.000+0000","http:research_data","httpevent"
428760,"CSE",294499,"2021-08-04T07:21:43.000+0000","http:research_data","httpevent"
426712,"CSE",294325,"2021-08-03T07:22:29.000+0000","http:research_data","httpevent"
426712,"CSE",294306,"2021-08-02T07:21:10.000+0000","http:research_data","httpevent"
426712,"CSE",294305,"2021-08-01T07:21:47.000+0000","http:research_data","httpevent"
426712,"CSE",294276,"2021-07-31T07:23:23.000+0000","http:research_data","httpevent"
426712,"CSE",294177,"2021-07-30T07:20:52.000+0000","http:research_data","httpevent"
426712,"CSE",294240,"2021-07-29T07:24:02.000+0000","http:research_data","httpevent"
426712,"CSE",294191,"2021-07-28T07:23:52.000+0000","http:research_data","httpevent"
426712,"CSE",294160,"2021-07-27T07:25:23.000+0000","http:research_data","httpevent"
426712,"CSE",294116,"2021-07-26T07:20:13.000+0000","http:research_data","httpevent"
426712,"CSE",294108,"2021-07-25T07:21:37.000+0000","http:research_data","httpevent"
426712,"CSE",294070,"2021-07-24T07:24:26.000+0000","http:research_data","httpevent"
426712,"CSE",294203,"2021-07-23T07:21:08.000+0000","http:research_data","httpevent"
426712,"CSE",294184,"2021-07-22T07:23:50.000+0000","http:research_data","httpevent"
426712,"CSE",294151,"2021-07-21T07:20:22.000+0000","http:research_data","httpevent"
426712,"CSE",294059,"2021-07-20T07:24:14.000+0000","http:research_data","httpevent"
426712,"CSE",294042,"2021-07-19T07:20:26.000+0000","http:research_data","httpevent"
426712,"CSE",294033,"2021-07-18T07:20:32.000+0000","http:research_data","httpevent"
